TimeStamp,Latitude,Longitude,Speed,Status
1691127184,29.91849,31.42429,60,1
1691127194,29.91853,31.42687,60,1
1691127204,29.91854,31.4296,60,1
1691127214,29.91839,31.43227,60,1
1691127224,29.91804,31.43489,60,1
1691127234,29.91749,31.43752,60,1
1691127244,29.91678,31.44011,60,1
1691127254,29.916,31.44269,60,1
1691127264,29.91522,31.44534,60,1
1691127274,29.91444,31.44801,60,1
1691127284,29.9137,31.45053,60,1
1691127294,29.913,31.45304,60,1
1691127305,29.91231,31.4558,60,1
1691127315,29.91174,31.45851,60,1
1691127325,29.91122,31.46123,60,1
1691127335,29.91071,31.46387,60,1
1691127345,29.9102,31.46652,60,1
1691127355,29.90969,31.4692,60,1
1691127365,29.90919,31.47189,60,1
1691127375,29.90868,31.47454,60,1
1691127385,29.90817,31.47734,60,1
1691127395,29.90763,31.48025,60,1
1691127405,29.90698,31.48311,60,1
1691127415,29.90637,31.48579,60,1
1691127425,29.90584,31.48825,60,1
1691127435,29.90528,31.49069,60,1
1691127445,29.90474,31.49303,60,1
1691127455,29.90427,31.49541,60,1
1691127466,29.90423,31.49804,60,1
1691127476,29.9047,31.50049,60,1
1691127486,29.90576,31.50285,60,1
1691127496,29.90743,31.50494,60,1
1691127506,29.90952,31.50653,60,1
1691127516,29.91168,31.50798,60,1
1691127526,29.91368,31.50965,60,1
1691127536,29.91558,31.51157,60,1
1691127546,29.91722,31.51381,60,1
1691127556,29.91843,31.51626,60,1
1691127566,29.91933,31.51869,60,1
1691127576,29.92062,31.52089,60,1
1691127586,29.92224,31.52271,60,1
1691127597,29.92421,31.52416,60,1
1691127607,29.926,31.52505,60,1
1691127617,29.92782,31.52587,60,1
1691127627,29.92909,31.52677,60,1
1691127637,29.92942,31.52826,60,1
1691127647,29.93027,31.52979,60,1
1691127657,29.93046,31.53175,60,1
1691127667,29.92994,31.53383,60,1
1691127677,29.92942,31.53605,60,1
1691127687,29.92899,31.53821,60,1
